('000796', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300067', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002068', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601961', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600853', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000797', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002068', 1, <type 'exceptions.Exception'>, ':', HTTPError())('601962', 1, <type 'exceptions.Exception'>, ':', HTTPError())

('300067', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600853', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000797', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601962', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002069', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300067', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600852', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000797', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601962', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300067', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600852', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000794', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300066', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601962', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600852', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000794', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300669', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000794', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601962', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600851', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601962', 1, <type 'exceptions.Exception'>, ':', HTTPError())('000794', 1, <type 'exceptions.Exception'>, ':', HTTPError())

('002062', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600850', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601963', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600859', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000794', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601963', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000795', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600858', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600858', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 1, <type 'exceptions.Exception'>, ':', HTTPError())('002062', 1, <type 'exceptions.Exception'>, ':', HTTPError())

('601963', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000798', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600581', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000798', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601964', 1, <type 'exceptions.Exception'>, ':', HTTPError())
